epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.21903,1.21492,3.19809,0.97932,0.9877,0.1921,0.50599,0.36372,1.11681,2.3283,0.94165,0.00023562,0.00023562,0.00023562
2,14.9253,1.1492,1.80419,0.97928,0.63873,0.66895,0.7152,0.48138,1.04715,1.11577,0.92682,0.000471276,0.000471276,0.000471276
3,21.5989,1.12731,1.58351,0.98679,0.66464,0.71488,0.74096,0.50215,1.09367,1.15832,0.95486,0.000704575,0.000704575,0.000704575
4,28.2463,1.0919,1.3654,0.97044,0.78131,0.73579,0.81333,0.5467,1.01932,1.09668,0.95297,0.000703397,0.000703397,0.000703397
5,34.8383,1.07643,1.18515,0.96247,0.82,0.80748,0.87476,0.61832,0.9777,0.93542,0.93219,0.000699863,0.000699863,0.000699863
6,41.4194,1.04918,1.06434,0.9573,0.86739,0.77314,0.8835,0.58686,1.05663,0.89119,0.95366,0.000696328,0.000696328,0.000696328
7,47.994,1.03091,0.96987,0.94689,0.8973,0.77465,0.92276,0.64505,0.99838,0.83567,0.93137,0.000692794,0.000692794,0.000692794
8,54.5878,1.00612,0.90755,0.94653,0.85794,0.87811,0.92779,0.63713,1.03804,0.80468,0.94179,0.00068926,0.00068926,0.00068926
9,61.1945,0.99848,0.85209,0.93864,0.91957,0.85273,0.93653,0.65728,0.98355,0.81036,0.91978,0.000685726,0.000685726,0.000685726
10,67.7786,0.99824,0.82076,0.94805,0.89382,0.88485,0.92413,0.6634,0.95051,0.77973,0.9263,0.000682191,0.000682191,0.000682191
11,74.3714,0.99536,0.7876,0.93937,0.90036,0.88242,0.94119,0.66533,0.97389,0.7205,0.92595,0.000678657,0.000678657,0.000678657
12,80.9918,0.9747,0.75191,0.932,0.93256,0.84358,0.93572,0.66213,0.98824,0.7359,0.92051,0.000675123,0.000675123,0.000675123
13,87.6486,0.96621,0.72828,0.93102,0.83043,0.9073,0.94812,0.67285,0.94106,0.73934,0.90819,0.000671588,0.000671588,0.000671588
14,94.3015,0.96282,0.69901,0.92791,0.84805,0.87965,0.91925,0.66709,0.95722,0.7576,0.91394,0.000668054,0.000668054,0.000668054
15,100.915,0.94059,0.68352,0.92318,0.88417,0.87644,0.92733,0.67537,0.92337,0.7398,0.90656,0.00066452,0.00066452,0.00066452
16,107.543,0.95723,0.68652,0.92807,0.87544,0.813,0.91589,0.67223,0.94668,0.73509,0.91176,0.000660986,0.000660986,0.000660986
17,114.148,0.93152,0.65355,0.92225,0.88059,0.87133,0.93073,0.68768,0.91998,0.70202,0.91314,0.000657451,0.000657451,0.000657451
18,120.726,0.93009,0.64148,0.92333,0.90407,0.92523,0.94366,0.68607,0.91698,0.69279,0.91312,0.000653917,0.000653917,0.000653917
19,127.332,0.91293,0.62834,0.90964,0.90884,0.92568,0.95566,0.69092,0.92315,0.63751,0.89642,0.000650383,0.000650383,0.000650383
20,133.932,0.91638,0.62091,0.91575,0.90667,0.89311,0.94134,0.69267,0.90334,0.62334,0.90027,0.000646848,0.000646848,0.000646848
21,140.548,0.89645,0.6012,0.90554,0.89624,0.90861,0.95046,0.69545,0.87806,0.61739,0.89942,0.000643314,0.000643314,0.000643314
22,147.184,0.89471,0.59619,0.90629,0.92782,0.91454,0.94321,0.68376,0.90222,0.61219,0.89379,0.00063978,0.00063978,0.00063978
23,153.749,0.89637,0.59945,0.91113,0.90183,0.90875,0.94642,0.70272,0.86692,0.61735,0.88886,0.000636245,0.000636245,0.000636245
24,160.384,0.88723,0.5787,0.90493,0.9311,0.91264,0.94777,0.71551,0.8768,0.64728,0.89142,0.000632711,0.000632711,0.000632711
25,167.043,0.89555,0.57751,0.91004,0.89617,0.93126,0.94905,0.70663,0.8771,0.64665,0.89425,0.000629177,0.000629177,0.000629177
26,173.61,0.87607,0.57031,0.89839,0.92939,0.90586,0.95616,0.70989,0.88692,0.61705,0.89555,0.000625642,0.000625642,0.000625642
27,180.208,0.88469,0.57576,0.91107,0.90813,0.93528,0.95432,0.71405,0.91293,0.61231,0.90196,0.000622108,0.000622108,0.000622108
28,186.794,0.87729,0.57059,0.8987,0.92423,0.93035,0.94529,0.70845,0.86682,0.59654,0.8897,0.000618574,0.000618574,0.000618574
29,193.407,0.86422,0.55512,0.89425,0.896,0.90456,0.93962,0.69596,0.88151,0.62986,0.89513,0.00061504,0.00061504,0.00061504
30,199.985,0.86541,0.55771,0.90346,0.93849,0.92483,0.95385,0.71702,0.87409,0.58518,0.89233,0.000611505,0.000611505,0.000611505
31,206.644,0.85925,0.54463,0.89829,0.92097,0.92245,0.94906,0.71575,0.87442,0.63536,0.89775,0.000607971,0.000607971,0.000607971
32,213.243,0.85895,0.54603,0.895,0.93312,0.91616,0.95537,0.73204,0.84762,0.5428,0.87862,0.000604437,0.000604437,0.000604437
33,219.827,0.84697,0.53221,0.89591,0.93586,0.92499,0.96627,0.72878,0.8722,0.57331,0.88652,0.000600902,0.000600902,0.000600902
34,226.425,0.83882,0.52747,0.88883,0.91603,0.92056,0.96116,0.73998,0.8463,0.56114,0.88026,0.000597368,0.000597368,0.000597368
35,233.021,0.85482,0.53268,0.89522,0.94055,0.90443,0.95573,0.71613,0.85495,0.59286,0.88361,0.000593834,0.000593834,0.000593834
36,239.604,0.8651,0.53244,0.89748,0.94187,0.91606,0.95302,0.70589,0.89068,0.55892,0.88954,0.0005903,0.0005903,0.0005903
37,246.191,0.84621,0.5341,0.89654,0.91769,0.89471,0.93893,0.70759,0.86823,0.59547,0.88412,0.000586765,0.000586765,0.000586765
38,252.822,0.83535,0.51708,0.89415,0.91597,0.91637,0.93356,0.71154,0.88041,0.65828,0.8989,0.000583231,0.000583231,0.000583231
39,259.381,0.83222,0.52241,0.89473,0.93128,0.90393,0.94876,0.71624,0.86787,0.60861,0.89196,0.000579697,0.000579697,0.000579697
40,265.934,0.83734,0.51905,0.89017,0.91951,0.90933,0.9369,0.71098,0.86821,0.59929,0.89428,0.000576162,0.000576162,0.000576162
41,272.496,0.8268,0.50966,0.89046,0.91296,0.90963,0.946,0.72415,0.84658,0.59889,0.88633,0.000572628,0.000572628,0.000572628
42,279.07,0.83044,0.51031,0.88394,0.90056,0.91597,0.95291,0.72486,0.90058,0.60134,0.90408,0.000569094,0.000569094,0.000569094
43,285.672,0.82178,0.50219,0.88629,0.92164,0.89331,0.94236,0.73312,0.86679,0.60497,0.89271,0.000565559,0.000565559,0.000565559
44,292.232,0.81364,0.49536,0.88006,0.91949,0.92424,0.95467,0.72916,0.88554,0.61636,0.90026,0.000562025,0.000562025,0.000562025
45,298.799,0.83468,0.50966,0.89078,0.93395,0.91423,0.95652,0.73917,0.8339,0.5453,0.87892,0.000558491,0.000558491,0.000558491
46,305.435,0.82429,0.4971,0.88675,0.9332,0.93994,0.95541,0.71672,0.89079,0.56179,0.89169,0.000554956,0.000554956,0.000554956
