epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.11905,1.21492,3.19809,0.97932,0.9877,0.1921,0.50599,0.36372,1.11681,2.3283,0.94165,0.00023562,0.00023562,0.00023562
2,14.7865,1.1492,1.80419,0.97928,0.63873,0.66895,0.7152,0.48138,1.04715,1.11577,0.92682,0.000471276,0.000471276,0.000471276
3,21.3708,1.12731,1.58351,0.98679,0.66464,0.71488,0.74096,0.50215,1.09367,1.15832,0.95486,0.000704575,0.000704575,0.000704575
4,27.9434,1.0919,1.3654,0.97044,0.78131,0.73579,0.81333,0.5467,1.01932,1.09668,0.95297,0.000703397,0.000703397,0.000703397
5,34.5537,1.07643,1.18515,0.96247,0.82,0.80748,0.87476,0.61832,0.9777,0.93542,0.93219,0.000699863,0.000699863,0.000699863
6,41.0958,1.04918,1.06434,0.9573,0.86739,0.77314,0.8835,0.58686,1.05663,0.89119,0.95366,0.000696328,0.000696328,0.000696328
7,47.6772,1.03091,0.96987,0.94689,0.8973,0.77465,0.92276,0.64505,0.99838,0.83567,0.93137,0.000692794,0.000692794,0.000692794
8,54.2374,1.00612,0.90755,0.94653,0.85794,0.87811,0.92779,0.63713,1.03804,0.80468,0.94179,0.00068926,0.00068926,0.00068926
9,60.7746,0.99848,0.85209,0.93864,0.91957,0.85273,0.93653,0.65728,0.98355,0.81036,0.91978,0.000685726,0.000685726,0.000685726
10,67.3017,0.99824,0.82076,0.94805,0.89382,0.88485,0.92413,0.6634,0.95051,0.77973,0.9263,0.000682191,0.000682191,0.000682191
11,73.8147,0.99536,0.7876,0.93937,0.90036,0.88242,0.94119,0.66533,0.97389,0.7205,0.92595,0.000678657,0.000678657,0.000678657
12,80.3531,0.9747,0.75191,0.932,0.93256,0.84358,0.93572,0.66213,0.98824,0.7359,0.92051,0.000675123,0.000675123,0.000675123
13,86.8634,0.96621,0.72828,0.93102,0.83043,0.9073,0.94812,0.67285,0.94106,0.73934,0.90819,0.000671588,0.000671588,0.000671588
14,93.4258,0.96282,0.69901,0.92791,0.84805,0.87965,0.91925,0.66709,0.95722,0.7576,0.91394,0.000668054,0.000668054,0.000668054
15,100.031,0.94059,0.68352,0.92318,0.88417,0.87644,0.92733,0.67537,0.92337,0.7398,0.90656,0.00066452,0.00066452,0.00066452
16,106.495,0.95723,0.68652,0.92807,0.87544,0.813,0.91589,0.67223,0.94668,0.73509,0.91176,0.000660986,0.000660986,0.000660986
17,113.05,0.93152,0.65355,0.92225,0.88059,0.87133,0.93073,0.68768,0.91998,0.70202,0.91314,0.000657451,0.000657451,0.000657451
18,119.533,0.93009,0.64148,0.92333,0.90407,0.92523,0.94366,0.68607,0.91698,0.69279,0.91312,0.000653917,0.000653917,0.000653917
19,126.105,0.91293,0.62834,0.90964,0.90884,0.92568,0.95566,0.69092,0.92315,0.63751,0.89642,0.000650383,0.000650383,0.000650383
20,132.668,0.91638,0.62091,0.91575,0.90667,0.89311,0.94134,0.69267,0.90334,0.62334,0.90027,0.000646848,0.000646848,0.000646848
21,139.232,0.89645,0.6012,0.90554,0.89624,0.90861,0.95046,0.69545,0.87806,0.61739,0.89942,0.000643314,0.000643314,0.000643314
22,145.763,0.89471,0.59619,0.90629,0.92782,0.91454,0.94321,0.68376,0.90222,0.61219,0.89379,0.00063978,0.00063978,0.00063978
